"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10733","TS012 - Verify Topic Selection","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","15931","TS003 - If no Quiz Player is found, move to the next Topic and search again","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","10943","TS015 - Continue searching and validate remaining Quiz Players in the playlist","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","12049","TS003 - Verify PDF Document Canvas is rendered","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","12189","TS009 - Click Submit and verify the answer is submitted successfully","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","14466","TS001 - Verify Video Resource Availability and Metadata in Playlist","","2026-08-04","passed","2026-08-04","","Video Player Module (MOD-005)","",""
"","9673","TS011 - Verify Chapter Selection","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","7570","TC008 - Verify Select School from dropdown","","2026-08-04","passed","2026-08-04","","Password Login Module","",""
"","10785","TS006 - Verify Division Selection","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","13985","TS001 - Verify Dashboard opens after PIN Login","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","7742","TS009 - Verify Default Topic is loaded","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","12382","TS002 - Verify Video Player Initialization and Control Interface Rendering","","2026-08-04","passed","2026-08-04","","Video Player Module (MOD-005)","",""
"","11061","TC015 - Verify Invalid Password displays login-pwd-error-message","","2026-08-04","passed","2026-08-04","","Login Validation Module","",""
"","5701","TC009 - Verify Username Field accepts input","","2026-08-04","passed","2026-08-04","","Password Login Module","",""
"","5828","TC010 - Verify Password Field accepts input","","2026-08-04","passed","2026-08-04","","Password Login Module","",""
"","5305","TC011 - Verify Login Button is disabled initially","","2026-08-04","passed","2026-08-04","","Password Login Module","",""
"","9030","TS003 - Verify Recent Classes opens by default","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","13936","TS005 - Verify Next Page button click action","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","8073","TC016 - Verify Empty Username field keeps button disabled and highlights red border","","2026-08-04","passed","2026-08-04","","Login Validation Module","",""
"","14355","TS004 - Verify Previous Page button click action","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","13292","TS013 - Verify Close PDF button click action closes viewer","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","9240","TS007 - Verify different asset types are displayed","","2026-08-04","passed","2026-08-04","","Playlist Module (MOD-003)","",""
"","7329","TC004 - Verify Invalid PIN displays login-pin-error-message","","2026-08-04","passed","2026-08-04","","PIN Login Module","",""
"","22586","TS004 - Validate Video Playback State Transitions (Play to Pause Control)","","2026-08-04","passed","2026-08-04","","Video Player Module (MOD-005)","",""
"","8743","TC012 - Verify Login Button enabled when all mandatory fields completed","","2026-08-04","passed","2026-08-04","","Password Login Module","",""
"","17654","TS001 - Search playlist and identify the first Quiz Player asset","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","14369","TS011 - Verify Answer Toggle button click action","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","3637","TC002 - Verify Login Modal opens PIN login dialog","","2026-08-04","passed","2026-08-04","","PIN Login Module","",""
"","14670","TS005 - Wait for the countdown and verify the Quiz Player opens successfully","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","6961","TC007 - Verify School Search dropdown displays on typing","","2026-08-04","passed","2026-08-04","","Password Login Module","",""
"","5366","TC006 - Verify Open Password Login form","","2026-08-04","passed","2026-08-04","","Password Login Module","",""
"","9967","TS007 - Verify Submit button is disabled before selecting an answer","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","14690","TS012 - Verify Print button click action","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","9177","TS010 - Verify Contents popup opens","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","8295","TS004 - Verify assets are displayed","","2026-08-04","passed","2026-08-04","","Playlist Module (MOD-003)","",""
"","9613","TS002 - Verify playlist refreshes after chapter change","","2026-08-04","passed","2026-08-04","","Playlist Module (MOD-003)","",""
"","10984","TS005 - Verify Grade Selection","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","14509","TS009 - Verify Portrait Mode button click action","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","7146","TC003 - [HAPPY PATH] Verify successful PIN Login","","2026-08-04","passed","2026-08-04","","PIN Login Module","",""
"","15517","TS014 - Close the Quiz Player and verify the playlist is restored","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","7376","TC001 - Verify application launches in Guest Mode","","2026-08-04","passed","2026-08-04","","PIN Login Module","",""
"","23448","TS006 - Validate Complete End-to-End Video Player Interaction Workflow","","2026-08-04","passed","2026-08-04","","Video Player Module (MOD-005)","",""
"","13036","TS007 - Verify Subject Selection","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","15282","TC013 - [HAPPY PATH] Verify Valid Password Login navigates to Dashboard","","2026-08-04","passed","2026-08-04","","Password Login Module","",""
